TableName  COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
(11 rows affected)
TableName      COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
-------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
SchoolCalendar CalendarID                                                                                                                       int                                                                                                                                                  NULL NO         
SchoolCalendar Date                                                                                                                             nvarchar                                                                                                                                               50 YES        
SchoolCalendar EndDate                                                                                                                          nvarchar                                                                                                                                               50 YES        
SchoolCalendar Category                                                                                                                         nvarchar                                                                                                                                              100 YES        
SchoolCalendar Description                                                                                                                      nvarchar                                                                                                                                               -1 YES        
SchoolCalendar RouteNeeded                                                                                                                      int                                                                                                                                                  NULL YES        
SchoolCalendar Notes                                                                                                                            nvarchar                                                                                                                                               -1 YES        

(7 rows affected)
TableName COLUMN_NAME                                                                                                                      DATA_TYPE                                                                                                                        CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
--------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- ------------------------ -----------
Students  StudentId                                                                                                                        int                                                                                                                                                  NULL NO         
Students  StudentName                                                                                                                      nvarchar                                                                                                                                              100 NO         
Students  StudentNumber                                                                                                                    nvarchar                                                                                                                                               20 YES        
Students  Grade                                                                                                                            nvarchar                                                                                                                                               20 YES        
Students  School                                                                                                                           nvarchar                                                                                                                                              100 YES        
Students  HomeAddress                                                                                                                      nvarchar                                                                                                                                              200 YES        
Students  City                                                                                                                             nvarchar                                                                                                                                               50 YES        
Students  State                                                                                                                            nvarchar                                                                                                                                                2 YES        
Students  Zip                                                                                                                              nvarchar                                                                                                                                               10 YES        
Students  HomePhone                                                                                                                        nvarchar                                                                                                                                               20 YES        
Students  ParentGuardian                                                                                                                   nvarchar                                                                                                                                              100 YES        
Students  EmergencyPhone                                                                                                                   nvarchar                                                                                                                                               20 YES        
Students  MedicalNotes                                                                                                                     nvarchar                                                                                                                                             1000 YES        
Students  TransportationNotes                                                                                                              nvarchar                                                                                                                                             1000 YES        
